년,월,전화금융사기 발생건수
2018,1,3035
2018,2,2254
2018,3,2989
2018,4,2918
2018,5,2600
2018,6,2542
2018,7,3009
2018,8,2890
2018,9,2639
2018,10,2605
2018,11,3537
2018,12,3114
2019,1,3529
2019,2,2419
2019,3,3967
2019,4,3540
2019,5,3329
2019,6,3044
2019,7,3132
2019,8,2885
2019,9,2482
2019,10,2674
2019,11,3214
2019,12,3452
2020,1,2797
2020,2,2173
2020,3,2651
2020,4,2711
2020,5,2969
2020,6,2749
2020,7,2676
2020,8,2288
2020,9,2577
2020,10,1893
2020,11,3014
2020,12,3183
2021,1,3187
2021,2,2417
2021,3,4017
2021,4,2808
2021,5,2406
2021,6,2979
2021,7,2588
2021,8,2414
2021,9,1812
2021,10,1881
2021,11,2137
2021,12,2336
2022,1,2044
2022,2,1750
2022,3,2067
2022,4,2497
2022,5,2349
2022,6,1694
2022,7,1796
2022,8,1895
2022,9,1284
2022,10,1407
2022,11,1696
2022,12,1353
2023,1,1024
2023,2,1504
2023,3,1751
2023,4,1468
2023,5,1616
2023,6,1721
2023,7,1657
2023,8,1718
2023,9,1556
2023,10,1313
2023,11,1761
2023,12,1813
2024,1,1843
2024,2,1195
2024,3,1977
2024,4,1780
2024,5,1639
2024,6,1618
2024,7,1682
2024,8,1709
2024,9,1203
2024,10,1825
2024,11,2205
2024,12,2163
2025,1,1952
2025,2,1632
2025,3,2294
2025,4,2390
2025,5,2086
2025,6,1985
,,
